# r g_tt g_rr g_theta_theta g_phi_phi
2.1 -0.047619 21 4.41 2.205
2.2 -0.0909091 11 4.84 2.42
2.3 -0.130435 7.66667 5.29 2.645
2.4 -0.166667 6 5.76 2.88
2.5 -0.2 5 6.25 3.125
2.6 -0.230769 4.33333 6.76 3.38
2.7 -0.259259 3.85714 7.29 3.645
2.8 -0.285714 3.5 7.84 3.92
2.9 -0.310345 3.22222 8.41 4.205
3 -0.333333 3 9 4.5
3.1 -0.354839 2.81818 9.61 4.805
3.2 -0.375 2.66667 10.24 5.12
3.3 -0.393939 2.53846 10.89 5.445
3.4 -0.411765 2.42857 11.56 5.78
3.5 -0.428571 2.33333 12.25 6.125
3.6 -0.444444 2.25 12.96 6.48
3.7 -0.459459 2.17647 13.69 6.845
3.8 -0.473684 2.11111 14.44 7.22
3.9 -0.487179 2.05263 15.21 7.605
4 -0.5 2 16 8
4.1 -0.512195 1.95238 16.81 8.405
4.2 -0.52381 1.90909 17.64 8.82
4.3 -0.534884 1.86957 18.49 9.245
4.4 -0.545455 1.83333 19.36 9.68
4.5 -0.555556 1.8 20.25 10.125
4.6 -0.565217 1.76923 21.16 10.58
4.7 -0.574468 1.74074 22.09 11.045
4.8 -0.583333 1.71429 23.04 11.52
4.9 -0.591837 1.68966 24.01 12.005
5 -0.6 1.66667 25 12.5
5.1 -0.607843 1.64516 26.01 13.005
5.2 -0.615385 1.625 27.04 13.52
5.3 -0.622642 1.60606 28.09 14.045
5.4 -0.62963 1.58824 29.16 14.58
5.5 -0.636364 1.57143 30.25 15.125
5.6 -0.642857 1.55556 31.36 15.68
5.7 -0.649123 1.54054 32.49 16.245
5.8 -0.655172 1.52632 33.64 16.82
5.9 -0.661017 1.51282 34.81 17.405
6 -0.666667 1.5 36 18
6.1 -0.672131 1.4878 37.21 18.605
6.2 -0.677419 1.47619 38.44 19.22
6.3 -0.68254 1.46512 39.69 19.845
6.4 -0.6875 1.45455 40.96 20.48
6.5 -0.692308 1.44444 42.25 21.125
6.6 -0.69697 1.43478 43.56 21.78
6.7 -0.701493 1.42553 44.89 22.445
6.8 -0.705882 1.41667 46.24 23.12
6.9 -0.710145 1.40816 47.61 23.805
7 -0.714286 1.4 49 24.5
7.1 -0.71831 1.39216 50.41 25.205
7.2 -0.722222 1.38462 51.84 25.92
7.3 -0.726027 1.37736 53.29 26.645
7.4 -0.72973 1.37037 54.76 27.38
7.5 -0.733333 1.36364 56.25 28.125
7.6 -0.736842 1.35714 57.76 28.88
7.7 -0.74026 1.35088 59.29 29.645
7.8 -0.74359 1.34483 60.84 30.42
7.9 -0.746835 1.33898 62.41 31.205
8 -0.75 1.33333 64 32
8.1 -0.753086 1.32787 65.61 32.805
8.2 -0.756098 1.32258 67.24 33.62
8.3 -0.759036 1.31746 68.89 34.445
8.4 -0.761905 1.3125 70.56 35.28
8.5 -0.764706 1.30769 72.25 36.125
8.6 -0.767442 1.30303 73.96 36.98
8.7 -0.770115 1.29851 75.69 37.845
8.8 -0.772727 1.29412 77.44 38.72
8.9 -0.775281 1.28986 79.21 39.605
9 -0.777778 1.28571 81 40.5
9.1 -0.78022 1.28169 82.81 41.405
9.2 -0.782609 1.27778 84.64 42.32
9.3 -0.784946 1.27397 86.49 43.245
9.4 -0.787234 1.27027 88.36 44.18
9.5 -0.789474 1.26667 90.25 45.125
9.6 -0.791667 1.26316 92.16 46.08
9.7 -0.793814 1.25974 94.09 47.045
9.8 -0.795918 1.25641 96.04 48.02
9.9 -0.79798 1.25316 98.01 49.005
10 -0.8 1.25 100 50
10.1 -0.80198 1.24691 102.01 51.005
10.2 -0.803922 1.2439 104.04 52.02
10.3 -0.805825 1.24096 106.09 53.045
10.4 -0.807692 1.2381 108.16 54.08
10.5 -0.809524 1.23529 110.25 55.125
10.6 -0.811321 1.23256 112.36 56.18
10.7 -0.813084 1.22989 114.49 57.245
10.8 -0.814815 1.22727 116.64 58.32
10.9 -0.816514 1.22472 118.81 59.405
11 -0.818182 1.22222 121 60.5
11.1 -0.81982 1.21978 123.21 61.605
11.2 -0.821429 1.21739 125.44 62.72
11.3 -0.823009 1.21505 127.69 63.845
11.4 -0.824561 1.21277 129.96 64.98
11.5 -0.826087 1.21053 132.25 66.125
11.6 -0.827586 1.20833 134.56 67.28
11.7 -0.82906 1.20619 136.89 68.445
11.8 -0.830508 1.20408 139.24 69.62
11.9 -0.831933 1.20202 141.61 70.805
12 -0.833333 1.2 144 72
