# r g_tt g_rr g_theta_theta g_phi_phi
4.1 -0.0243902 41 16.81 8.405
4.2 -0.047619 21 17.64 8.82
4.3 -0.0697674 14.3333 18.49 9.245
4.4 -0.0909091 11 19.36 9.68
4.5 -0.111111 9 20.25 10.125
4.6 -0.130435 7.66667 21.16 10.58
4.7 -0.148936 6.71429 22.09 11.045
4.8 -0.166667 6 23.04 11.52
4.9 -0.183673 5.44444 24.01 12.005
5 -0.2 5 25 12.5
5.1 -0.215686 4.63636 26.01 13.005
5.2 -0.230769 4.33333 27.04 13.52
5.3 -0.245283 4.07692 28.09 14.045
5.4 -0.259259 3.85714 29.16 14.58
5.5 -0.272727 3.66667 30.25 15.125
5.6 -0.285714 3.5 31.36 15.68
5.7 -0.298246 3.35294 32.49 16.245
5.8 -0.310345 3.22222 33.64 16.82
5.9 -0.322034 3.10526 34.81 17.405
6 -0.333333 3 36 18
6.1 -0.344262 2.90476 37.21 18.605
6.2 -0.354839 2.81818 38.44 19.22
6.3 -0.365079 2.73913 39.69 19.845
6.4 -0.375 2.66667 40.96 20.48
6.5 -0.384615 2.6 42.25 21.125
6.6 -0.393939 2.53846 43.56 21.78
6.7 -0.402985 2.48148 44.89 22.445
6.8 -0.411765 2.42857 46.24 23.12
6.9 -0.42029 2.37931 47.61 23.805
7 -0.428571 2.33333 49 24.5
7.1 -0.43662 2.29032 50.41 25.205
7.2 -0.444444 2.25 51.84 25.92
7.3 -0.452055 2.21212 53.29 26.645
7.4 -0.459459 2.17647 54.76 27.38
7.5 -0.466667 2.14286 56.25 28.125
7.6 -0.473684 2.11111 57.76 28.88
7.7 -0.480519 2.08108 59.29 29.645
7.8 -0.487179 2.05263 60.84 30.42
7.9 -0.493671 2.02564 62.41 31.205
8 -0.5 2 64 32
8.1 -0.506173 1.97561 65.61 32.805
8.2 -0.512195 1.95238 67.24 33.62
8.3 -0.518072 1.93023 68.89 34.445
8.4 -0.52381 1.90909 70.56 35.28
8.5 -0.529412 1.88889 72.25 36.125
8.6 -0.534884 1.86957 73.96 36.98
8.7 -0.54023 1.85106 75.69 37.845
8.8 -0.545455 1.83333 77.44 38.72
8.9 -0.550562 1.81633 79.21 39.605
9 -0.555556 1.8 81 40.5
9.1 -0.56044 1.78431 82.81 41.405
9.2 -0.565217 1.76923 84.64 42.32
9.3 -0.569892 1.75472 86.49 43.245
9.4 -0.574468 1.74074 88.36 44.18
9.5 -0.578947 1.72727 90.25 45.125
9.6 -0.583333 1.71429 92.16 46.08
9.7 -0.587629 1.70175 94.09 47.045
9.8 -0.591837 1.68966 96.04 48.02
9.9 -0.59596 1.67797 98.01 49.005
10 -0.6 1.66667 100 50
10.1 -0.60396 1.65574 102.01 51.005
10.2 -0.607843 1.64516 104.04 52.02
10.3 -0.61165 1.63492 106.09 53.045
10.4 -0.615385 1.625 108.16 54.08
10.5 -0.619048 1.61538 110.25 55.125
10.6 -0.622642 1.60606 112.36 56.18
10.7 -0.626168 1.59701 114.49 57.245
10.8 -0.62963 1.58824 116.64 58.32
10.9 -0.633028 1.57971 118.81 59.405
11 -0.636364 1.57143 121 60.5
11.1 -0.63964 1.56338 123.21 61.605
11.2 -0.642857 1.55556 125.44 62.72
11.3 -0.646018 1.54795 127.69 63.845
11.4 -0.649123 1.54054 129.96 64.98
11.5 -0.652174 1.53333 132.25 66.125
11.6 -0.655172 1.52632 134.56 67.28
11.7 -0.65812 1.51948 136.89 68.445
11.8 -0.661017 1.51282 139.24 69.62
11.9 -0.663866 1.50633 141.61 70.805
12 -0.666667 1.5 144 72
12.1 -0.669421 1.49383 146.41 73.205
12.2 -0.672131 1.4878 148.84 74.42
12.3 -0.674797 1.48193 151.29 75.645
12.4 -0.677419 1.47619 153.76 76.88
12.5 -0.68 1.47059 156.25 78.125
12.6 -0.68254 1.46512 158.76 79.38
12.7 -0.685039 1.45977 161.29 80.645
12.8 -0.6875 1.45455 163.84 81.92
12.9 -0.689922 1.44944 166.41 83.205
13 -0.692308 1.44444 169 84.5
13.1 -0.694656 1.43956 171.61 85.805
13.2 -0.69697 1.43478 174.24 87.12
13.3 -0.699248 1.43011 176.89 88.445
13.4 -0.701493 1.42553 179.56 89.78
13.5 -0.703704 1.42105 182.25 91.125
13.6 -0.705882 1.41667 184.96 92.48
13.7 -0.708029 1.41237 187.69 93.845
13.8 -0.710145 1.40816 190.44 95.22
13.9 -0.71223 1.40404 193.21 96.605
14 -0.714286 1.4 196 98
